metric,scope,manuscript_or_frozen,reproduced,status
identifier_masked.top5_overlap,top50,NOT_PROVIDED,5,AUTHOR_COMPARISON_PENDING
identifier_masked.top10_overlap,top50,NOT_PROVIDED,10,AUTHOR_COMPARISON_PENDING
identifier_masked.spearman_rho,top50,NOT_PROVIDED,1.000000000000,AUTHOR_COMPARISON_PENDING
identifier_masked.kendall_tau,top50,NOT_PROVIDED,1.000000000000,AUTHOR_COMPARISON_PENDING
strict_context_blind.target_rank,top50,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
strict_context_blind.top5_overlap,top50,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
strict_context_blind.top10_overlap,top50,NOT_PROVIDED,7,AUTHOR_COMPARISON_PENDING
strict_context_blind.spearman_rho,top50,NOT_PROVIDED,0.829435774310,AUTHOR_COMPARISON_PENDING
strict_context_blind.kendall_tau,top50,NOT_PROVIDED,0.715918367347,AUTHOR_COMPARISON_PENDING
target_top1_frequency,top50,NOT_PROVIDED,1.0,AUTHOR_COMPARISON_PENDING
target_top5_frequency,top50,NOT_PROVIDED,1.0,AUTHOR_COMPARISON_PENDING
score_gap_mean,top50,NOT_PROVIDED,0.24821177188418686,AUTHOR_COMPARISON_PENDING
score_gap_quantiles_025_975,top50,NOT_PROVIDED,"[0.21789927674223036, 0.274700172417]",AUTHOR_COMPARISON_PENDING
