target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
0.425000,0.750000,0.100000,0.688100,0.586046,0.976744,0.000000,0.000000,0.855007
0.525000,0.400000,0.650000,0.528942,0.487748,0.812914,0.000000,0.000000,0.775032
0.525000,0.400000,0.650000,0.440253,0.575831,0.959718,0.000000,0.000000,0.770583
0.525000,0.400000,0.650000,0.437332,0.573729,0.956215,0.000000,0.000000,0.783647
0.525000,0.400000,0.650000,0.437399,0.575831,0.959718,0.000000,0.000000,0.770108
0.525000,0.400000,0.650000,0.524394,0.485265,0.808775,0.000000,0.000000,0.783388
0.525000,0.400000,0.650000,0.449627,0.553472,0.922453,0.000000,0.000000,0.808337
0.525000,0.400000,0.650000,0.490065,0.520755,0.867925,0.000000,0.000000,0.775923
0.525000,0.400000,0.650000,0.489836,0.515909,0.859848,0.000000,0.000000,0.793003
0.525000,0.400000,0.650000,0.448645,0.557143,0.928571,0.000000,0.000000,0.784193
0.525000,0.400000,0.650000,0.454218,0.553694,0.922823,0.000000,0.000000,0.775095
0.525000,0.400000,0.650000,0.497311,0.515942,0.859904,0.000000,0.000000,0.747526
0.525000,0.400000,0.650000,0.432600,0.567092,0.945153,0.000000,0.000000,0.797681
0.525000,0.400000,0.650000,0.478193,0.521591,0.869319,0.000000,0.000000,0.792641
0.525000,0.400000,0.650000,0.525234,0.472847,0.788079,0.000000,0.000000,0.788412
0.425000,0.750000,0.100000,0.720667,0.562162,0.936936,0.000000,0.000000,0.747754
0.525000,0.400000,0.650000,0.424142,0.577711,0.962851,0.000000,0.000000,0.769156
0.525000,0.400000,0.650000,0.441376,0.563736,0.939560,0.000000,0.000000,0.752868
0.525000,0.400000,0.650000,0.446727,0.549671,0.916118,0.000000,0.000000,0.778530
0.525000,0.400000,0.650000,0.400347,0.584246,0.973744,0.000000,0.000000,0.821744
0.525000,0.400000,0.650000,0.491939,0.493549,0.822581,0.000000,0.000000,0.798743
0.525000,0.400000,0.650000,0.430266,0.553846,0.923077,0.000000,0.000000,0.801946
0.525000,0.400000,0.650000,0.416459,0.564344,0.940574,0.000000,0.000000,0.812365
0.525000,0.400000,0.650000,0.464588,0.531958,0.886597,0.000000,0.000000,0.743253
0.525000,0.400000,0.650000,0.508964,0.503411,0.839018,0.000000,0.000000,0.674419
